doy,east_wind_ms-1,north_wind_ms-1
150,-0.5992751826842626,-1.408310438444217
151,1.2314855872342985,-3.2201450149218243
152,-1.3152339028815427,-2.6110518929859
153,-0.2175540807346503,-3.772583699723085
154,1.0411186218261719,-5.149517757197221
155,2.3838321949044863,-5.55464924822251
156,1.4053571623905252,-3.46694997176528
157,1.1842837219436964,-5.051083500186603
158,0.35088908194253843,-3.7848011682430904
159,-1.3461911636094253,-3.3538605441649754
160,-1.8725076434512933,1.277177929583316
161,1.805842133363088,-4.553049046794573
162,2.973175602654616,-8.690423641602198
163,3.203032387296359,-6.33803765575091
164,1.5161351770162583,-0.6271359385301669
165,2.03245815038681,-0.2133406280229489
166,2.9796269406874973,-2.205238631864389
167,2.887074957539638,0.07744836881756782
168,0.26437772028148177,-5.081901997327805
169,1.4380568550899624,-4.241990967094898
170,-3.5079612399140996,4.008732226490975
171,-2.2719198333720367,2.159658459449808
172,-1.2514370617767174,-0.3024848139301563
173,-0.14444035223374765,-0.7598659737656513
174,-2.028668215498328,-3.182338732977708
175,-2.871460755805795,3.3255486890673636
176,-3.4895297755797703,4.719982815782229
177,-2.8942218460142612,6.253707525134087
178,-1.8850212210168442,2.272537190280855
179,-1.007351456892987,-0.5454088234653075
180,1.1786641110355656,-4.703010628620784
181,2.4545429706573487,-5.6922904272874195
182,-1.3699553807731717,4.38432573924462
183,-1.2269846053173146,5.211216241121292
184,-0.8027935780351981,1.6198889487733443
185,0.25761827680592736,-2.5243979543447495
186,1.6677158940893908,-6.251925355195999
187,2.608823033173879,-6.136684725681941
188,0.18864027205854655,-5.315578764677047
189,-0.4801198930479586,-1.8271960013235609
190,0.6736879880928124,0.8581820394843817
