,Station,Depth_m,PAR_irradiance_Einm2-d1,PAR0+_Einm2-d1,Ratio_of_under_ice_PAR_to_surface_PAR,Ratio_of_openwater_PAR_to_surface_PAR,IceConcentration_percent,Sampled_under_ice_or_in_open_water
0,100.0,0.0,NaN,37.941264,NaN,NaN,0.0,OW
1,100.0,0.01,39.37056964369661,37.941264,NaN,1.0376715347094556,0.0,OW
2,100.0,0.02,39.25545176405469,37.941264,NaN,1.0346374270518424,0.0,OW
3,100.0,0.03,39.14098682235545,37.941264,NaN,1.031620528571622,0.0,OW
4,100.0,0.04,39.02716913690667,37.941264,NaN,1.0286206895191123,0.0,OW
5,100.0,0.05,38.91399314479824,37.941264,NaN,1.0256377632753153,0.0,OW
6,100.0,0.06,38.80145339634137,37.941264,NaN,1.022671606205354,0.0,OW
7,100.0,0.07,38.68954454984156,37.941264,NaN,1.0197220775207056,0.0,OW
8,100.0,0.08,38.57826136668584,37.941264,NaN,1.0167890391497194,0.0,OW
9,100.0,0.09,38.4675987067199,37.941264,NaN,1.0138723556157723,0.0,OW
10,100.0,0.1,38.357551523903396,37.941264,NaN,1.0109718939227592,0.0,OW
11,100.0,0.11,38.248114862220305,37.941264,NaN,1.0080875234473028,0.0,OW
12,100.0,0.12,38.13928385183153,37.941264,NaN,1.0052191158373514,0.0,OW
13,100.0,0.13,38.03105370545054,37.941264,NaN,1.0023665449166517,0.0,OW
14,100.0,0.14,37.92341971493461,37.941264,NaN,0.9995296865949067,0.0,OW
15,100.0,0.15,37.81637724807238,37.941264,NaN,0.9967084187831059,0.0,OW
16,100.0,0.16,37.709921745556166,37.941264,NaN,0.9939026213137278,0.0,OW
17,100.0,0.17,37.60404871813008,37.941264,NaN,0.9911121758655718,0.0,OW
18,100.0,0.18,37.49875374390069,37.941264,NaN,0.9883369658928783,0.0,OW
19,100.0,0.19,37.39403246580247,37.941264,NaN,0.9855768765585267,0.0,OW
20,100.0,0.2,37.28988058920302,37.941264,NaN,0.9828317946709163,0.0,OW
21,100.0,0.21,37.1862938796485,37.941264,NaN,0.9801016086245441,0.0,OW
22,100.0,0.22,37.08326816072833,37.941264,NaN,0.9773862083437267,0.0,OW
23,100.0,0.23,36.980799312065336,37.941264,NaN,0.974685485229626,0.0,OW
24,100.0,0.24,36.87888326741268,37.941264,NaN,0.9719993321100923,0.0,OW
25,100.0,0.25,36.777516012855436,37.941264,NaN,0.9693276431922627,0.0,OW
26,100.0,0.26,36.67669358511082,37.941264,NaN,0.9666703140177625,0.0,OW
27,100.0,0.27,36.576412069921254,37.941264,NaN,0.9640272414203507,0.0,OW
28,100.0,0.28,36.47666760053015,37.941264,NaN,0.9613983234857476,0.0,OW
29,100.0,0.29,36.377456356243265,37.941264,NaN,0.9587834595137176,0.0,OW
30,100.0,0.3,36.278774561059784,37.941264,NaN,0.9561825499819877,0.0,OW
31,100.0,0.31,36.180618482382066,37.941264,NaN,0.9535954965122424,0.0,OW
