doy,Solar_heat_flux_Wm-2
122.0,110.07616662431155
123.0,96.55436689365725
124.0,100.43341007324929
125.0,130.50628048101288
126.0,135.52761260124248
127.0,134.9290334014416
128.0,98.64843685750121
129.0,73.54900067491343
130.0,114.15496497709167
131.0,138.4220036531794
132.0,129.90737618237677
133.0,101.27270689947429
134.0,107.6541441799298
135.0,110.18489412364177
136.0,143.0306047410678
137.0,154.11914805647936
138.0,137.90123144127128
139.0,123.87021856840502
140.0,102.9700479180878
141.0,105.58333684384948
142.0,142.63434538304384
143.0,137.71606959357473
144.0,141.00054312566678
145.0,141.08813920070855
146.0,128.8880468456329
147.0,140.82596505116084
148.0,136.7658056982659
149.0,138.68602002945997
150.0,163.43048440609493
151.0,155.92575840581506
152.0,172.42434368208487
153.0,175.308367693388
154.0,176.9799175377418
155.0,163.3491013310149
156.0,167.0469922152113
157.0,170.8928030694267
158.0,151.6767166296651
159.0,108.51164654092631
160.0,99.54502332290814
161.0,126.60802034805079
162.0,170.681922291656
163.0,161.39330673841206
164.0,139.34517597888765
165.0,147.96542444903963
166.0,125.57138852885546
167.0,133.42118888166064
168.0,144.35260109338896
169.0,145.77909866018268
170.0,152.21121523683755
171.0,111.74475445705573
172.0,149.4397476667015
173.0,132.19914236011914
174.0,104.26231578803394
175.0,83.0578526279634
176.0,64.442476591478
177.0,81.70797002000008
178.0,108.0011330033736
179.0,92.91145383470355
180.0,90.07644750333097
181.0,105.19126764859034
182.0,129.92261970553866
183.0,128.1736240942201
184.0,102.48666207222844
185.0,115.05761995408916
186.0,139.96521170181225
187.0,139.59120355295346
188.0,148.77239200220802
189.0,162.17061805339102
190.0,120.48955190318465
191.0,104.55866143737113
192.0,121.99439828926309
193.0,120.74771650043144
194.0,133.48718394520756
195.0,134.83569391364446
196.0,114.91363729218546
197.0,113.65709417201921
198.0,115.45536031791801
199.0,90.95056602701587
200.0,68.50567020016821
201.0,110.01540926422076
202.0,121.91590498160708
203.0,88.2196996891878
204.0,63.83497523475532
205.0,90.63955480800158
206.0,96.94701404240116
207.0,93.58274680731232
208.0,98.88037681537469
209.0,85.64892646665263
210.0,90.56109762243838
211.0,84.69096856557724
212.0,79.73696802632821
213.0,87.66154111123092
