IRD,hBD,Nitracline,Depth_chlaMax,isolume_01,isolume_0415,Depth_tempMin,PAR_3m,NO3_sfc,TChla_vertIntegral_0415,TChla_vertIntegral_hBD,TChla_vertIntegral_m80
-27.0,25.403303530028452,0.0625,19.541666666666664,44.08333333333333,26.833333333333336,21.011363636363637,5.51971063899379,4.007043055555526,17.354080833333448,17.319015,28.58800625000003
-24.0,23.78947440674267,0.16287878787878787,18.069444444444443,43.74603174603175,26.103174603174605,23.424242424242426,5.18852285655127,3.863241835016812,17.126655793650844,16.324747619047596,29.527918452381048
-18.0,22.747811967274544,0.8295454545454546,16.48611111111111,39.96825396825397,23.536507936507906,31.28535353535354,5.768135775865361,3.4901247715247607,21.835371904761967,20.37693095238093,37.52324623015905
-12.0,19.607958163858516,2.343434343434344,18.347222222222225,41.023809523809526,24.758730158730128,35.28535353535354,6.578463452288491,2.5949134546523362,24.610297460317515,20.54819498015866,42.64109484127004
-6.0,18.585478773679664,5.422222222222223,19.29106280193237,42.76666666666667,27.577777777777744,40.12955643390427,11.614459580133046,1.7511272986478499,33.484002555555655,22.712401603535294,51.92553560606075
0.0,16.559667779230185,7.331313131313132,22.435799644037633,47.50277777777779,31.811111111111106,44.316690936828245,16.840408362903272,1.2442038739244252,35.628578111111175,16.970754936868662,53.27284949494952
6.0,20.131295135348925,15.984090909090911,25.36742357566156,46.94722222222222,33.53333333333334,47.55911517925248,20.979724894822002,0.7770359083894464,45.829624222222435,18.318440909090867,66.92183421717179
12.0,22.58887594014315,20.895202020202024,31.38191632928475,49.22222222222223,36.20833333333334,51.0982456140351,21.56512201214021,0.49823470468574227,40.64191076388907,17.211742999999966,67.9483980555556
18.0,27.539205273586294,28.38611111111111,37.376068376068375,47.04166666666668,37.59722222222223,52.88333333333335,21.7252055470335,0.20059278549382487,35.93779076388903,16.737234111111075,76.41828601851846
24.0,26.975039269647596,31.177777777777777,41.555555555555564,60.98611111111112,46.430555555555564,57.99444444444445,27.521457683260767,0.06960725308641896,20.931450208333274,12.476564111111115,50.887654074074
30.0,27.652469277649164,35.06666666666667,47.22222222222223,61.27777777777779,48.555555555555564,58.19444444444445,27.904573132652576,0.0003148148148145735,16.47851333333327,8.398537777777788,40.91792962962955
33.0,26.812964777672043,37.5,49.500000000000014,70.00000000000001,53.750000000000014,60.16666666666667,29.8313285368202,0.0,13.51335999999994,7.922389999999997,22.703124999999943
