Kd_PAR [1/m],Isolume depth at 0.415 Ein/m2/d level [m],Ice concentration [%],Ice thickness (Depth of shallowest C-OPS measurement) [m],Surface transmittance [-]
0.10953210072709646,39.5,0.0,0.01,1.0376715347094556
0.13696884348261495,31.0,0.0,0.01,0.9422480238614209
0.10733925304450533,37.5,0.0,0.01,0.8334785098559975
0.10250308237422406,15.0,100.0,0.01,0.9696289492874586
0.08774785293855276,22.0,100.0,0.01,0.9405806417830523
0.08659809573125922,29.0,93.43999481201172,1.44,0.096831664263594
0.09329407545548848,30.5,98.62999725341797,1.94,0.1565128914762283
0.10457662273796117,24.0,92.66999816894531,0.01,1.0064015553136938
0.13063889512258328,25.0,41.029998779296875,0.01,0.9878474358748349
0.09987012314739736,41.0,0.0,0.01,1.027604165728565
0.12483084062136073,37.5,0.0,0.01,0.9864359617390682
0.13698550171196713,27.5,0.0,0.01,0.9482265284795339
0.1408402180160841,23.0,81.0999984741211,0.01,0.966828051832223
0.1083113173480617,15.4,100.0,1.38,0.10582188863500314
0.08401796121646828,22.0,97.70999908447266,0.01,0.9591467370422585
0.08774547503849794,26.5,98.87999725341797,1.42,0.20034055454843
0.08047451551420037,29.0,98.90999603271484,0.01,0.9838043746871786
0.09569329400583144,21.5,100.0,1.38,0.10164123030642301
0.08507670488934647,29.0,99.3699951171875,0.01,1.0884452061475838
0.06453543975692737,22.5,85.69999694824219,0.32,0.22515665518029698
0.08318129353401196,31.0,92.82999420166016,0.01,0.9909034078802668
0.09319953832811187,26.5,99.57999420166016,0.68,0.3017750023434983
0.09194455656343621,44.5,0.0,0.01,1.0202964970025934
0.08356686525995388,47.5,0.0,0.01,1.0421774059785898
0.1275956626359634,41.0,0.0,0.01,1.1526037043757433
0.13446495044393453,21.0,0.0,0.01,0.9976605517907253
0.1413679131559206,29.5,0.0,0.01,0.985357389957001
0.09970254074914855,33.5,0.0,0.01,1.0728016962635465
0.17915623973248906,20.5,0.0,0.01,0.9620780517108741
0.09712288125977772,38.0,35.880001068115234,0.01,0.9423922815555964
0.07322082699198561,34.5,83.6199951171875,0.41,0.27366696642328103
0.09061576038179173,24.5,94.32999420166016,0.57,0.414648262271493
0.08698556374869806,39.5,49.68000030517578,0.01,0.9301223989735616
0.09520694671544705,41.5,28.93000030517578,0.01,0.9898728059549681
0.21986524919174136,30.0,0.0,0.01,1.0363690078214969
0.0994391281942365,35.0,0.0,0.01,0.9163208283384477
0.09592415014391917,47.0,0.0,0.01,1.0460611333864673
0.12004711989277858,39.0,0.0,0.01,1.02394250116879
0.2254646101835258,32.5,0.0,0.01,0.9375774672239237
0.08914267868848155,53.0,0.0,0.01,0.8910778863603257
0.07872036326522219,60.0,0.0,0.01,1.1019416240154467
0.1282370790888828,33.5,0.0,0.01,1.1071677959846866
0.10730045792563217,28.5,0.0,0.01,1.0172320152132535
0.10349047391140936,27.5,69.52999877929688,0.01,1.0040641209358856
